2025-03-14 10:47:31 INFO  LoggingManager:42 - Logging configuration initialized. Log file path: C:\Users\kwazinkosizwane\eclipse-workspace\SourceDemo\logs\Regression_Suite_logs.log
2025-03-14 10:47:39 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (cad071a2435e8d3f63ed6d53893b4f21)] -> id: last-name]
2025-03-14 10:47:39 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (6a90d690f19adc12e426d4f160fd4156)] -> id: postal-code]
2025-03-14 10:47:39 INFO  LoggingManager:51 - WebDriver quit successfully
2025-03-14 10:47:39 INFO  LoggingManager:51 - Running tests on browser: chrome
2025-03-14 10:47:39 INFO  LoggingManager:51 - Initializing chrome browser in normal mode
2025-03-14 10:47:39 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (4ebe8d4bb36487b712ad15d98ffb4ed0)] -> id: postal-code]
2025-03-14 10:47:39 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (cad071a2435e8d3f63ed6d53893b4f21)] -> id: postal-code]
2025-03-14 10:47:39 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (6a90d690f19adc12e426d4f160fd4156)] -> id: continue]
2025-03-14 10:47:39 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (4ebe8d4bb36487b712ad15d98ffb4ed0)] -> id: continue]
2025-03-14 10:47:39 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (cad071a2435e8d3f63ed6d53893b4f21)] -> id: continue]
2025-03-14 10:47:40 INFO  LoggingManager:51 - TC01 (expected error) in CheckoutPageTests::testCheckoutFormSubmissions PASSED!
2025-03-14 10:47:40 INFO  LoggingManager:51 - WebDriver configured successfully
2025-03-14 10:47:40 INFO  LoggingManager:51 - WebDriver quit successfully
2025-03-14 10:47:40 INFO  LoggingManager:51 - Running tests on browser: chrome
2025-03-14 10:47:40 INFO  LoggingManager:51 - Initializing chrome browser in normal mode
2025-03-14 10:47:41 INFO  LoggingManager:51 - WebDriver configured successfully
2025-03-14 10:47:41 INFO  LoggingManager:51 - Navigated to URL:https://www.saucedemo.com
2025-03-14 10:47:41 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (daac9add101a3b362f274659b021216e)] -> id: user-name]
2025-03-14 10:47:42 INFO  LoggingManager:51 - Navigated to URL:https://www.saucedemo.com
